Company,ISIN,GICSSectorName,Country,Region
LVMH-Moet Vuitton,FR0000121014,Consumer Discretionary,FRANCE,EUR
Eurazeo SE,FR0000121121,Financials,FRANCE,EUR
Wendel,FR0000121204,Industrials,FRANCE,EUR
Sodexo S.A.,FR0000121220,Consumer Discretionary,FRANCE,EUR
Thales S.A.,FR0000121329,Industrials,FRANCE,EUR
Kering SA,FR0000121485,Consumer Discretionary,FRANCE,EUR
EssilorLuxottica,FR0000121667,Health Care,FRANCE,EUR
Klepierre,FR0000121964,Real Estate,FRANCE,EUR
Schneider Electric S.E.,FR0000121972,Industrials,FRANCE,EUR
Compagnie de Saint-Gobain S.A.,FR0000125007,Industrials,FRANCE,EUR
Capgemini SE,FR0000125338,Information Technology,FRANCE,EUR
VINCI SA,FR0000125486,Industrials,FRANCE,EUR
"Casino, Guichard-Perrachon S.A.",FR0000125585,Consumer Staples,FRANCE,EUR
Vivendi SE,FR0000127771,Consumer Discretionary,FRANCE,EUR
Lagardere SA,FR0000130213,Consumer Discretionary,FRANCE,EUR
Remy Cointreau SA,FR0000130395,Consumer Staples,FRANCE,EUR
Christian Dior SE,FR0000130403,Consumer Discretionary,FRANCE,EUR
Eiffage SA,FR0000130452,Industrials,FRANCE,EUR
Publicis Groupe S.A.,FR0000130577,Consumer Discretionary,FRANCE,EUR
Societe Generale,FR0000130809,Financials,FRANCE,EUR
BNP Paribas SA,FR0000131104,Financials,FRANCE,EUR
ERAMET S.A.,FR0000131757,Materials,FRANCE,EUR
Renault SA,FR0000131906,Consumer Discretionary,FRANCE,EUR
Orange S.A.,FR0000133308,Communication Services,FRANCE,EUR
Gecina,FR0010040865,Real Estate,FRANCE,EUR
Alstom SA,FR0010220475,Industrials,FRANCE,EUR
SCOR SE,FR0010411983,Financials,FRANCE,EUR
Valeo SE,FR0013176526,Consumer Discretionary,FRANCE,EUR
CGG,FR0013181864,Energy,FRANCE,EUR
Unibail-Rodamco-Westfield SE,FR0013326246,Real Estate,FRANCE,EUR
Vantiva S.A.,FR0013505062,Consumer Discretionary,FRANCE,EUR
Vallourec S.A.,FR0013506730,Industrials,FRANCE,EUR
Eurofins Scientific SE,FR0014000MR3,Consumer Discretionary,FRANCE,EUR
Dassault Systemes SA,FR0014003TT8,Information Technology,FRANCE,EUR
Michelin CGDE A Beiges,FR001400AJ45,Consumer Discretionary,FRANCE,EUR
Speedy Hire Plc,GB0000163088,Industrials,UNITED KINGDOM,EUR
Anglo-Eastern Plantations Plc,GB0000365774,Consumer Staples,UNITED KINGDOM,EUR
Antofagasta plc,GB0000456144,Materials,UNITED KINGDOM,EUR
Ashtead Group plc,GB0000536739,Industrials,UNITED KINGDOM,EUR
Braemar Plc,GB0000600931,Industrials,UNITED KINGDOM,EUR
Barratt Developments PLC,GB0000811801,Consumer Discretionary,UNITED KINGDOM,EUR
Bellway p.l.c.,GB0000904986,Consumer Discretionary,UNITED KINGDOM,EUR
Balfour Beatty Plc,GB0000961622,Industrials,UNITED KINGDOM,EUR
Henry Boot Plc,GB0001110096,Consumer Discretionary,UNITED KINGDOM,EUR
British Land Company Plc,GB0001367019,Real Estate,UNITED KINGDOM,EUR
Tullow Oil plc,GB0001500809,Energy,UNITED KINGDOM,EUR
Xaar plc,GB0001570810,Information Technology,UNITED KINGDOM,EUR
J D Wetherspoon plc,GB0001638955,Consumer Discretionary,UNITED KINGDOM,EUR
Camellia Plc,GB0001667087,Industrials,UNITED KINGDOM,EUR
Castings P.L.C.,GB0001795680,Industrials,UNITED KINGDOM,EUR
Diploma PLC,GB0001826634,Information Technology,UNITED KINGDOM,EUR
Vistry Group PLC,GB0001859296,Consumer Discretionary,UNITED KINGDOM,EUR
TClarke plc,GB0002015021,Industrials,UNITED KINGDOM,EUR
Clarkson Plc,GB0002018363,Industrials,UNITED KINGDOM,EUR
Rathbones Group Plc,GB0002148343,Financials,UNITED KINGDOM,EUR
Cranswick plc,GB0002318888,Consumer Staples,UNITED KINGDOM,EUR
R.E.A. Holdings Plc,GB0002349065,Consumer Staples,UNITED KINGDOM,EUR
Diageo Plc,GB0002374006,Consumer Staples,UNITED KINGDOM,EUR
Elementis plc,GB0002418548,Materials,UNITED KINGDOM,EUR
BAE Systems Plc,GB0002634946,Industrials,UNITED KINGDOM,EUR
Derwent London Plc,GB0002652740,Real Estate,UNITED KINGDOM,EUR
Devro plc,GB0002670437,Consumer Staples,UNITED KINGDOM,EUR
British American Tobacco p.l.c.,GB0002875804,Consumer Staples,UNITED KINGDOM,EUR
Town Centre Securities Plc,GB0003062816,Real Estate,UNITED KINGDOM,EUR
RS Group plc,GB0003096442,Information Technology,UNITED KINGDOM,EUR
Spectris plc,GB0003308607,Information Technology,UNITED KINGDOM,EUR
James Fisher and Sons plc,GB0003395000,Energy,UNITED KINGDOM,EUR
FirstGroup Plc,GB0003452173,Industrials,UNITED KINGDOM,EUR
Games Workshop Group PLC,GB0003718474,Consumer Discretionary,UNITED KINGDOM,EUR
Halma plc,GB0004052071,Information Technology,UNITED KINGDOM,EUR
Standard Chartered PLC,GB0004082847,Financials,UNITED KINGDOM,EUR
Hays plc,GB0004161021,Industrials,UNITED KINGDOM,EUR
Headlam Group plc,GB0004170089,Consumer Discretionary,UNITED KINGDOM,EUR
Hill & Smith PLC,GB0004270301,Materials,UNITED KINGDOM,EUR
Hunting PLC,GB0004478896,Energy,UNITED KINGDOM,EUR
Imperial Brands Plc,GB0004544929,Consumer Staples,UNITED KINGDOM,EUR
Mitie Group plc,GB0004657408,Industrials,UNITED KINGDOM,EUR
Spirent Communications Plc,GB0004726096,Information Technology,UNITED KINGDOM,EUR
Keller Group plc,GB0004866223,Industrials,UNITED KINGDOM,EUR
Kier Group plc,GB0004915632,Industrials,UNITED KINGDOM,EUR
HSBC Holdings Plc,GB0005405286,Financials,UNITED KINGDOM,EUR
Howden Joinery Group PLC,GB0005576813,Consumer Discretionary,UNITED KINGDOM,EUR
Legal & General Group Plc,GB0005603997,Financials,UNITED KINGDOM,EUR
Mears Group plc,GB0005630420,Industrials,UNITED KINGDOM,EUR
McBride plc,GB0005746358,Consumer Staples,UNITED KINGDOM,EUR
Morgan Advanced Materials PLC,GB0006027295,Industrials,UNITED KINGDOM,EUR
Mobico Group Plc,GB0006215205,Industrials,UNITED KINGDOM,EUR
Ecora Resources PLC,GB0006449366,Energy,UNITED KINGDOM,EUR
4imprint Group PLC,GB0006640972,Consumer Discretionary,UNITED KINGDOM,EUR
Oxford Instruments plc,GB0006650450,Information Technology,UNITED KINGDOM,EUR
Associated British Foods plc,GB0006731235,Consumer Staples,UNITED KINGDOM,EUR
Pearson plc,GB0006776081,Consumer Discretionary,UNITED KINGDOM,EUR
Persimmon Plc,GB0006825383,Consumer Discretionary,UNITED KINGDOM,EUR
Unite Group Plc,GB0006928617,Real Estate,UNITED KINGDOM,EUR
Porvair plc,GB0006963689,Materials,UNITED KINGDOM,EUR
Prudential Plc,GB0007099541,Financials,UNITED KINGDOM,EUR
Rio Tinto Group,GB0007188757,Materials,AUSTRALIA,PAC
Renishaw plc,GB0007323586,Information Technology,UNITED KINGDOM,EUR
Ricardo plc,GB0007370074,Industrials,UNITED KINGDOM,EUR
Liontrust Asset Management PLC,GB0007388407,Financials,UNITED KINGDOM,EUR
RPS Group Limited,GB0007594764,Industrials,UNITED KINGDOM,EUR
Close Brothers Group plc,GB0007668071,Financials,UNITED KINGDOM,EUR
St. James's Place plc,GB0007669376,Financials,UNITED KINGDOM,EUR
Kin and Carta plc,GB0007689002,Consumer Discretionary,UNITED KINGDOM,EUR
SSE plc,GB0007908733,Utilities,UNITED KINGDOM,EUR
Senior plc,GB0007958233,Industrials,UNITED KINGDOM,EUR
Serco Group plc,GB0007973794,Industrials,UNITED KINGDOM,EUR
BP p.l.c.,GB0007980591,Energy,UNITED KINGDOM,EUR
SIG PLC,GB0008025412,Industrials,UNITED KINGDOM,EUR
Morgan Sindall Group plc,GB0008085614,Industrials,UNITED KINGDOM,EUR
DS Smith Plc,GB0008220112,Materials,UNITED KINGDOM,EUR
ME Group International plc,GB0008481250,Consumer Discretionary,UNITED KINGDOM,EUR
Lloyds Banking Group Plc,GB0008706128,Financials,UNITED KINGDOM,EUR
TT Electronics plc,GB0008711763,Information Technology,UNITED KINGDOM,EUR
Taylor Wimpey plc,GB0008782301,Consumer Discretionary,UNITED KINGDOM,EUR
Telecom Plus Plc,GB0008794710,Communication Services,UNITED KINGDOM,EUR
Mothercare plc,GB0009067447,Consumer Discretionary,UNITED KINGDOM,EUR
Smith & Nephew plc,GB0009223206,Health Care,UNITED KINGDOM,EUR
Vp Plc,GB0009286963,Industrials,UNITED KINGDOM,EUR
Victrex plc,GB0009292243,Materials,UNITED KINGDOM,EUR
Videndum Plc,GB0009296665,Consumer Discretionary,UNITED KINGDOM,EUR
The Weir Group PLC,GB0009465807,Industrials,UNITED KINGDOM,EUR
Wilmington Plc,GB0009692319,Consumer Discretionary,UNITED KINGDOM,EUR
Babcock International Group PLC,GB0009697037,Industrials,UNITED KINGDOM,EUR
AstraZeneca Plc,GB0009895292,Health Care,UNITED KINGDOM,EUR
Amdocs Limited,GB0022569080,Information Technology,UNITED STATES,AMER
BT Group plc,GB0030913577,Communication Services,UNITED KINGDOM,EUR
Marks and Spencer Group plc,GB0031274896,Consumer Discretionary,UNITED KINGDOM,EUR
Barclays PLC,GB0031348658,Financials,UNITED KINGDOM,EUR
NEXT plc,GB0032089863,Consumer Discretionary,UNITED KINGDOM,EUR
Bloomsbury Publishing plc,GB0033147751,Consumer Discretionary,UNITED KINGDOM,EUR
Kingfisher plc,GB0033195214,Consumer Discretionary,UNITED KINGDOM,EUR
ITV Plc,GB0033986497,Consumer Discretionary,UNITED KINGDOM,EUR
Marshalls plc,GB00B012BV22,Materials,UNITED KINGDOM,EUR
J Sainsbury plc,GB00B019KW72,Consumer Staples,UNITED KINGDOM,EUR
Hornby Plc,GB00B01CZ652,Consumer Discretionary,UNITED KINGDOM,EUR
Centrica plc,GB00B033F229,Utilities,UNITED KINGDOM,EUR
Grainger Plc,GB00B04V1276,Real Estate,UNITED KINGDOM,EUR
Bunzl plc,GB00B0744B38,Industrials,UNITED KINGDOM,EUR
Rentokil Initial plc,GB00B082RF11,Industrials,UNITED KINGDOM,EUR
Helical plc,GB00B0FYMT95,Real Estate,UNITED KINGDOM,EUR
The Restaurant Group plc,GB00B0YG1K06,Consumer Discretionary,UNITED KINGDOM,EUR
Unilever PLC,GB00B10RZP78,Consumer Staples,NETHERLANDS,EUR
Savills plc,GB00B135BJ46,Real Estate,UNITED KINGDOM,EUR
Lookers plc,GB00B17MMZ46,Consumer Discretionary,UNITED KINGDOM,EUR
Topps Tiles Plc,GB00B18P5K83,Consumer Discretionary,UNITED KINGDOM,EUR
PZ Cussons Plc,GB00B19Z1432,Utilities,UNITED KINGDOM,EUR
Severn Trent Plc,GB00B1FH8J72,Utilities,UNITED KINGDOM,EUR
Pendragon PLC,GB00B1JQBT10,Consumer Staples,UNITED KINGDOM,EUR
Marston's PLC,GB00B1JQDM80,Consumer Staples,UNITED KINGDOM,EUR
Whitbread PLC,GB00B1KJJ408,Consumer Discretionary,UNITED KINGDOM,EUR
The Rank Group Plc,GB00B1L5QH97,Consumer Discretionary,UNITED KINGDOM,EUR
N Brown Group plc,GB00B1P6ZR11,Consumer Discretionary,UNITED KINGDOM,EUR
Smiths Group plc,GB00B1WY2338,Industrials,UNITED KINGDOM,EUR
Anglo American Plc,GB00B1XZS820,Materials,UNITED KINGDOM,EUR
3i Group plc,GB00B1YW4409,Financials,UNITED KINGDOM,EUR
Capita plc,GB00B23K0M20,Industrials,UNITED KINGDOM,EUR
Reckitt Benckiser Group PLC,GB00B24CGK77,Consumer Staples,UNITED KINGDOM,EUR
Severfield Plc,GB00B27YGJ97,Industrials,UNITED KINGDOM,EUR
RELX PLC,GB00B2B0DG97,Consumer Discretionary,NETHERLANDS,EUR
Paragon Banking Group Plc,GB00B2NGPM57,Financials,UNITED KINGDOM,EUR
WH Smith PLC,GB00B2PDGW16,Consumer Discretionary,UNITED KINGDOM,EUR
United Utilities Group Plc,GB00B39J2M42,Utilities,UNITED KINGDOM,EUR
STV Group Plc,GB00B3CX3644,Consumer Discretionary,UNITED KINGDOM,EUR
De La Rue plc,GB00B3DGH821,Industrials,UNITED KINGDOM,EUR
Bodycote Plc,GB00B3FLWH99,Industrials,UNITED KINGDOM,EUR
Redde Northgate plc,GB00B41H7391,Industrials,UNITED KINGDOM,EUR
Chemring Group PLC,GB00B45C9X44,Industrials,UNITED KINGDOM,EUR
Pharos Energy plc,GB00B572ZV91,Energy,UNITED KINGDOM,EUR
SEGRO Plc,GB00B5ZN1N88,Real Estate,UNITED KINGDOM,EUR
Inchcape plc,GB00B61TVQ02,Consumer Discretionary,UNITED KINGDOM,EUR
Rolls-Royce Holdings Plc,GB00B63H8491,Industrials,UNITED KINGDOM,EUR
Greggs plc,GB00B63QSB39,Consumer Staples,UNITED KINGDOM,EUR
Costain Group PLC,GB00B64NSP76,Industrials,UNITED KINGDOM,EUR
Workspace Group plc,GB00B67G5X01,Real Estate,UNITED KINGDOM,EUR
A.G. BARR p.l.c.,GB00B6XZKY75,Consumer Staples,UNITED KINGDOM,EUR
Vesuvius plc,GB00B82YXW83,Industrials,UNITED KINGDOM,EUR
The Sage Group plc,GB00B8C3BL03,Information Technology,UNITED KINGDOM,EUR
Coca-Cola Europacific Partners PLC,GB00BDCPN049,Consumer Staples,SPAIN,EUR
Oxford BioMedica Plc,GB00BDFBVT43,Health Care,UNITED KINGDOM,EUR
National Grid PLC,GB00BDR05C01,Utilities,UNITED KINGDOM,EUR
CLS Holdings plc,GB00BF044593,Real Estate,UNITED KINGDOM,EUR
Great Portland Estates Plc,GB00BF5H9P87,Real Estate,UNITED KINGDOM,EUR
Redrow plc,GB00BG11K365,Consumer Discretionary,UNITED KINGDOM,EUR
IMI plc,GB00BGLP8L22,Industrials,UNITED KINGDOM,EUR
Vodafone Group Public Limited Company,GB00BH4HKS39,Communication Services,UNITED KINGDOM,EUR
Croda International Plc,GB00BJFFLV09,Materials,UNITED KINGDOM,EUR
RM plc,GB00BJT0FF39,Information Technology,UNITED KINGDOM,EUR
Hammerson plc,GB00BK7YQK64,Real Estate,UNITED KINGDOM,EUR
Travis Perkins plc,GB00BK9RKT01,Industrials,UNITED KINGDOM,EUR
Hyve Group Limited,GB00BKP36R26,Consumer Discretionary,UNITED KINGDOM,EUR
Galliford Try Holdings PLC,GB00BKY40Q38,Industrials,UNITED KINGDOM,EUR
Capital & Regional PLC,GB00BL6XZ716,Real Estate,UNITED KINGDOM,EUR
Tesco PLC,GB00BLGZ9862,Consumer Staples,UNITED KINGDOM,EUR
The Berkeley Group Holdings plc,GB00BLJNXL82,Consumer Discretionary,UNITED KINGDOM,EUR
NatWest Group plc,GB00BM8PJY71,Financials,UNITED KINGDOM,EUR
JD Sports Fashion plc,GB00BM8Q5M07,Consumer Discretionary,UNITED KINGDOM,EUR
Informa PLC,GB00BMJ6DW54,Consumer Discretionary,UNITED KINGDOM,EUR
GSK plc,GB00BN7SWP63,Health Care,UNITED KINGDOM,EUR
Pennon Group Plc,GB00BNNTLN49,Utilities,UNITED KINGDOM,EUR
Renewi plc,GB00BNR4T868,Industrials,UNITED KINGDOM,EUR
Shell plc,GB00BP6MXD84,Energy,UNITED KINGDOM,EUR
Tate & Lyle plc,GB00BP92CJ43,Consumer Staples,UNITED KINGDOM,EUR
Schroders Plc,GB00BP9LHF23,Financials,UNITED KINGDOM,EUR
Aviva plc,GB00BPQY8M80,Financials,UNITED KINGDOM,EUR
MJ Gleeson Plc,GB00BRKD9Z53,Industrials,UNITED KINGDOM,EUR
Computacenter Plc,GB00BV9FP302,Information Technology,UNITED KINGDOM,EUR
Rotork plc,GB00BVFNZH21,Information Technology,UNITED KINGDOM,EUR
Spirax-Sarco Engineering plc,GB00BWFGQN14,Industrials,UNITED KINGDOM,EUR
Primary Health Properties Plc,GB00BYRJ5J14,Real Estate,UNITED KINGDOM,EUR
Intermediate Capital Group plc,GB00BYT1DJ19,Financials,UNITED KINGDOM,EUR
Land Securities Group PLC,GB00BYW0PQ60,Real Estate,UNITED KINGDOM,EUR
Homeserve Plc,GB00BYYTFB60,Consumer Discretionary,UNITED KINGDOM,EUR
Future Plc,GB00BYZN9041,Consumer Discretionary,UNITED KINGDOM,EUR
Johnson Matthey Plc,GB00BZ4BQC70,Materials,UNITED KINGDOM,EUR
National Bank of Greece S.A.,GRS003003035,Financials,GREECE,EM
Bank of Greece,GRS004013009,Financials,GREECE,EM
Piraeus Financial Holdings S.A.,GRS014003032,Financials,GREECE,EM
Hellenic Telecommunications Organization S.A.,GRS260333000,Communication Services,GREECE,EM
HELLENiQ ENERGY Holdings S.A.,GRS298343005,Energy,GREECE,EM
MIG Holdings S.A.,GRS314003013,Financials,GREECE,EM
Eurobank Ergasias Services and Holdings S.A.,GRS323003012,Financials,GREECE,EM
Television Broadcasts Limited,HK0000139300,Consumer Discretionary,HONG KONG,PAC
Shoucheng Holdings Limited,HK0000592854,Materials,HONG KONG,PAC
New World Development Company Limited,HK0000608585,Real Estate,HONG KONG,PAC
Yuexiu Property Company Limited,HK0000745908,Consumer Discretionary,CHINA,EM
CLP Holdings Limited,HK0002007356,Utilities,HONG KONG,PAC
The Hong Kong and China Gas Company Limited,HK0003000038,Utilities,HONG KONG,PAC
Wharf (Holdings) Limited,HK0004000045,Real Estate,HONG KONG,PAC
Power Assets Holdings Limited,HK0006000050,Utilities,HONG KONG,PAC
PCCW Limited,HK0008011667,Communication Services,HONG KONG,PAC
Hang Lung Group Limited,HK0010000088,Real Estate,HONG KONG,PAC
Hang Seng Bank Limited,HK0011000095,Financials,HONG KONG,PAC
Henderson Land Development Company Limited,HK0012000102,Real Estate,HONG KONG,PAC
Hysan Development Company Limited,HK0014000126,Real Estate,HONG KONG,PAC
Sun Hung Kai Properties Limited,HK0016000132,Real Estate,HONG KONG,PAC
Swire Pacific Limited,HK0019000162,Real Estate,HONG KONG,PAC
"The Bank of East Asia, Limited",HK0023000190,Financials,HONG KONG,PAC
Sino Land Company Limited,HK0083000502,Real Estate,HONG KONG,PAC
Hang Lung Properties Limited,HK0101000591,Real Estate,HONG KONG,PAC
China Merchants Port Holdings Company Limited,HK0144000764,Industrials,HONG KONG,PAC
China Everbright Limited,HK0165000859,Financials,CHINA,EM
Melco International Development Limited,HK0200030994,Industrials,HONG KONG,PAC
Shun Tak Holdings Limited,HK0242001243,Real Estate,HONG KONG,PAC
CITIC Limited,HK0267001375,Industrials,HONG KONG,PAC
Guangdong Investment Limited,HK0270001396,Industrials,CHINA,EM
China Resources Beer (Holdings) Company Limited,HK0291001490,Consumer Discretionary,CHINA,EM
Cathay Pacific Airways Limited,HK0293001514,Industrials,HONG KONG,PAC
China Travel International Investment Hong Kong Limited,HK0308001558,Consumer Discretionary,HONG KONG,PAC
Shanghai Industrial Holdings Limited,HK0363006039,Industrials,CHINA,EM
Beijing Enterprises Holdings Limited,HK0392044647,Industrials,CHINA,EM
Dah Sing Financial Holdings Limited,HK0440001847,Financials,HONG KONG,PAC
China Overseas Land & Investment Limited,HK0688002218,Real Estate,HONG KONG,PAC
China Mobile Limited,HK0941009539,Communication Services,CHINA,EM
Lenovo Group Limited,HK0992009065,Information Technology,CHINA,EM
OTP Bank Nyrt.,HU0000061726,Financials,HUNGARY,EM
Magyar Telekom,HU0000073507,Communication Services,HUNGARY,EM
Richter Gedeon,HU0000123096,Health Care,HUNGARY,EM
MOL Magyar Olaj- es Gazipari Nyilvanosan Mukodo Reszvenytarsasag,HU0000153937,Energy,HUNGARY,EM
PT Medco Energi Internasional Tbk,ID1000053705,Energy,INDONESIA,EM
PT Indofood Sukses Makmur Tbk,ID1000057003,Consumer Staples,INDONESIA,EM
PT Indocement Tunggal Prakarsa Tbk,ID1000061302,Materials,INDONESIA,EM
PT Astra Agro Lestari Tbk,ID1000066004,Consumer Staples,INDONESIA,EM
PT Gudang Garam Tbk,ID1000068604,Consumer Staples,INDONESIA,EM
P.T. Bank Pan Indonesia Tbk,ID1000092703,Financials,INDONESIA,EM
PT Bank Danamon Indonesia Tbk,ID1000094204,Financials,INDONESIA,EM
PT Unilever Indonesia Tbk,ID1000095706,Consumer Staples,INDONESIA,EM
PT Bank Negara Indonesia (Persero) Tbk,ID1000096605,Financials,INDONESIA,EM
PT Indosat Ooredoo Hutchison Tbk,ID1000097405,Communication Services,INDONESIA,EM
PT Bank Maybank Indonesia Tbk,ID1000099302,Financials,INDONESIA,EM
PT Global Mediacom Tbk,ID1000105604,Consumer Discretionary,INDONESIA,EM
PT Aneka Tambang Tbk,ID1000106602,Materials,INDONESIA,EM
PT Semen Indonesia (Persero) Tbk,ID1000106800,Materials,INDONESIA,EM
PT Lippo Karawaci Tbk,ID1000108905,Real Estate,INDONESIA,EM
PT Vale Indonesia Tbk,ID1000109309,Materials,INDONESIA,EM
PT Bakrie & Brothers Tbk,ID1000110000,Industrials,INDONESIA,EM
PT Astra International Tbk,ID1000122807,Consumer Discretionary,INDONESIA,EM
PT Kalbe Farma Tbk.,ID1000125107,Health Care,INDONESIA,EM
Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,ID1000129000,Communication Services,INDONESIA,EM
DCC plc,IE0002424939,Industrials,IRELAND,EUR
Greencore Group plc,IE0003864109,Consumer Staples,IRELAND,EUR
Kerry Group plc,IE0004906560,Consumer Staples,IRELAND,EUR
Kingspan Group Plc,IE0004927939,Industrials,IRELAND,EUR
Grafton Group plc,IE00B00MZ448,Industrials,IRELAND,EUR
Eaton Corporation plc,IE00B8KQN827,Industrials,UNITED STATES,AMER
Bank Of Ireland Group plc,IE00BD1RP616,Financials,IRELAND,EUR
AIB Group Plc,IE00BF0L3536,Financials,IRELAND,EUR
Perrigo Company plc,IE00BGH1M568,Health Care,UNITED STATES,AMER
Trane Technologies plc,IE00BK9ZQ967,Industrials,UNITED STATES,AMER
Aon plc,IE00BLP1HW54,Financials,UNITED STATES,AMER
Pentair PLC,IE00BLS09M33,Industrials,UNITED STATES,AMER
Medtronic plc,IE00BTN1Y115,Health Care,UNITED STATES,AMER
Permanent TSB Group Holdings Plc,IE00BWB8X525,Financials,IRELAND,EUR
Johnson Controls International plc,IE00BY7QL619,Consumer Discretionary,UNITED STATES,AMER
Ryanair Holdings Plc,IE00BYTBXV33,Industrials,IRELAND,EUR
Bezeq The Israel Telecommunication Corp. Ltd,IL0002300114,Communication Services,ISRAEL,EUR
NICE Ltd.,IL0002730112,Information Technology,ISRAEL,EUR
ICL Group Ltd,IL0002810146,Materials,ISRAEL,EUR
Israel Corporation Ltd,IL0005760173,Materials,ISRAEL,EUR
First International Bank of Israel Ltd,IL0005930388,Financials,ISRAEL,EUR
Bank Leumi Le-Israel B.M.,IL0006046119,Financials,ISRAEL,EUR
Bank Hapoalim B.M.,IL0006625771,Financials,ISRAEL,EUR
Mizrahi Tefahot Bank Ltd.,IL0006954379,Financials,ISRAEL,EUR
Elbit Systems Ltd.,IL0010811243,Industrials,ISRAEL,EUR
Check Point Software Technologies Ltd.,IL0010824113,Information Technology,UNITED STATES,AMER
Delek Group Ltd.,IL0010841281,Industrials,ISRAEL,EUR
BATM Advanced Communications Ltd.,IL0010849045,Information Technology,ISRAEL,EUR
Housing Development Finance Corporation Limited,INE001A01036,Financials,INDIA,EM
Reliance Industries Limited,INE002A01018,Energy,INDIA,EM
Siemens Limited,INE003A01024,Industrials,INDIA,EM
IDBI Bank Limited,INE008A01015,Financials,INDIA,EM
Infosys Limited,INE009A01021,Information Technology,INDIA,EM
ACC Limited,INE012A01025,Materials,INDIA,EM
Reliance Capital Limited,INE013A01015,Financials,INDIA,EM
Dabur India Limited,INE016A01026,Consumer Staples,INDIA,EM
Larsen & Toubro Limited,INE018A01030,Industrials,INDIA,EM
JSW Steel Limited,INE019A01038,Materials,INDIA,EM
Asian Paints Limited,INE021A01026,Materials,INDIA,EM
Bank of Baroda Limited,INE028A01039,Financials,INDIA,EM
Bharat Petroleum Corporation Limited,INE029A01011,Energy,INDIA,EM
Hindustan Unilever Limited,INE030A01027,Consumer Staples,INDIA,EM
Reliance Infrastructure Limited,INE036A01016,Utilities,INDIA,EM
Hindalco Industries Limited,INE038A01020,Materials,INDIA,EM
HDFC Bank Limited,INE040A01034,Financials,INDIA,EM
Sun Pharmaceutical Industries Limited,INE044A01036,Health Care,INDIA,EM
Grasim Industries Limited,INE047A01021,Materials,INDIA,EM
The Indian Hotels Company Limited,INE053A01029,Consumer Discretionary,INDIA,EM
Cipla Limited,INE059A01026,Health Care,INDIA,EM
State Bank of India,INE062A01020,Financials,INDIA,EM
CG Power and Industrial Solutions Limited,INE067A01029,Industrials,INDIA,EM
Wipro Limited,INE075A01022,Information Technology,INDIA,EM
Ambuja Cements Limited,INE079A01024,Materials,INDIA,EM
Tata Steel Limited,INE081A01020,Materials,INDIA,EM
Bank of India Limited,INE084A01016,Financials,INDIA,EM
Dr. Reddy's Laboratories Limited,INE089A01023,Health Care,INDIA,EM
ICICI Bank Limited,INE090A01021,Financials,INDIA,EM
Hindustan Petroleum Corporation Limited,INE094A01015,Energy,INDIA,EM
Mahindra & Mahindra Limited,INE101A01026,Consumer Discretionary,INDIA,EM
Mangalore Refinery and Petrochemicals Limited,INE103A01014,Energy,INDIA,EM
Container Corporation of India Limited,INE111A01025,Industrials,INDIA,EM
Steel Authority of India Limited,INE114A01011,Materials,INDIA,EM
ABB India Limited,INE117A01022,Industrials,INDIA,EM
GAIL (India) Limited,INE129A01019,Utilities,INDIA,EM
National Aluminium Company Limited,INE139A01034,Materials,INDIA,EM
Piramal Enterprises Limited,INE140A01024,Health Care,INDIA,EM
Tata Communications Limited,INE151A01013,Communication Services,INDIA,EM
Thermax Limited,INE152A01029,Industrials,INDIA,EM
ITC Limited,INE154A01025,Consumer Staples,INDIA,EM
Tata Motors Limited,INE155A01022,Industrials,INDIA,EM
Hero MotoCorp Limited,INE158A01026,Consumer Discretionary,INDIA,EM
GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,Health Care,INDIA,EM
Vedanta Limited,INE205A01025,Materials,INDIA,EM
Ashok Leyland Limited,INE208A01029,Industrials,INDIA,EM
Oil and Natural Gas Corporation Limited,INE213A01029,Energy,INDIA,EM
Britannia Industries Limited,INE216A01030,Consumer Staples,INDIA,EM
Kotak Mahindra Bank Limited,INE237A01028,Financials,INDIA,EM
Axis Bank Limited,INE238A01034,Financials,INDIA,EM
Nestle India Ltd,INE239A01016,Consumer Staples,INDIA,EM
Indian Oil Corporation Limited,INE242A01010,Energy,INDIA,EM
The Tata Power Company Limited,INE245A01021,Utilities,INDIA,EM
Zee Entertainment Enterprises Limited,INE256A01028,Consumer Discretionary,INDIA,EM
Bharat Heavy Electricals Limited,INE257A01026,Industrials,INDIA,EM
Colgate-Palmolive (India) Limited,INE259A01022,Consumer Staples,INDIA,EM
Bharat Electronics Limited,INE263A01024,Industrials,INDIA,EM
Hindustan Zinc Limited,INE267A01025,Materials,INDIA,EM
Cummins India Limited,INE298A01020,Industrials,INDIA,EM
Exide Industries Limited,INE302A01020,Consumer Discretionary,INDIA,EM
Adani Enterprises Limited,INE423A01024,Industrials,INDIA,EM
Bharat Forge Limited,INE465A01025,Consumer Discretionary,INDIA,EM
NLC India Limited,INE589A01014,Materials,INDIA,EM
UPL Limited,INE628A01036,Materials,INDIA,EM
Unitech Limited,INE694A01020,Industrials,INDIA,EM
Jindal Steel & Power Limited,INE749A01030,Materials,INDIA,EM
United Spirits Limited,INE854D01024,Consumer Staples,INDIA,EM
Assicurazioni Generali S.p.A.,IT0000062072,Financials,ITALY,EUR
